Game.Id,Period,Time,Scorer,Assist.1,Assist.2,TeamId,Note,season,SQ
1121,3,1196,1352,1005,1055,3,"ES, ENG",66,NA
1085,1,348,1231,1703,1733,16,PP,66,NA
1085,1,1143,1737,1311,1264,16,ES,66,NA
1085,2,105,1231,1703,1611,16,PP,66,NA
1085,2,465,1690,NA,NA,16,ES,66,NA
1085,2,805,1737,1215,1403,16,ES,66,NA
1085,3,67,1084,1734,1733,16,ES,66,NA
1085,3,128,1703,1737,1403,16,ES,66,NA
1085,3,585,1737,1690,1733,16,ES,66,NA
1085,3,657,1403,1703,1611,16,ES,66,NA
1085,3,1021,1311,1463,1229,16,ES,66,NA
1142,1,803,1589,1402,1298,14,PP,66,NA
1142,1,1118,1589,1340,1402,14,ES,66,NA
1142,2,295,1310,1122,1298,14,ES,66,NA
1142,2,333,1589,1195,1565,14,ES,66,NA
1142,3,526,1875,1406,1133,8,ES,66,NA
1109,1,131,1748,1265,1353,17,ES,66,NA
1109,2,1066,1232,1053,1990,5,ES,66,NA
1109,3,569,1155,1265,1748,17,ES,66,NA
1109,3,832,1002,994,1272,5,PP,66,NA
1089,1,114,1027,1740,1302,2,PP,66,NA
1089,2,27,1184,1740,988,2,ES,66,NA
1089,2,44,1184,1740,1152,2,ES,66,NA
1089,3,272,1111,828,1741,2,ES,66,NA
1089,3,1197,1200,828,1267,2,ES,66,NA
1095,3,930,879,1157,983,6,ES,66,NA
1095,3,1039,879,1227,1306,6,ES,66,NA
1095,3,1064,879,983,1306,6,ES,66,NA
1086,1,710,1035,1093,1346,3,ES,66,NA
1086,1,820,1696,1429,1372,3,ES,66,NA
1086,1,1118,1703,1734,1611,16,PP,66,NA
1086,2,907,1403,1463,1703,16,ES,66,NA
1086,2,1117,1093,1293,1035,3,ES,66,NA
1086,3,622,1737,1403,1703,16,ES,66,NA
1086,OT1,44,1215,1611,1231,16,ES,66,NA
1113,1,410,1482,1014,1466,4,ES,66,NA
1113,1,1039,1367,NA,NA,7,ES,66,NA
1113,1,1112,1100,872,1014,4,PP,66,NA
1113,2,225,1014,872,1100,4,ES,66,NA
1113,2,483,1100,1652,872,4,PP,66,NA
1113,2,1070,1193,1652,1408,4,ES,66,NA
1113,2,1196,1014,1171,872,4,ES,66,NA
1092,1,62,1048,1199,783,0,PP,66,NA
1092,1,100,1154,1101,NA,15,ES,66,NA
1092,1,728,968,1355,1043,15,ES,66,NA
1092,2,50,1189,1154,1101,15,ES,66,NA
1092,3,1039,1355,1154,1449,15,ES,66,NA
1106,1,91,999,1226,994,5,ES,66,NA
1106,2,298,1002,999,1226,5,ES,66,NA
1106,2,539,856,1232,999,5,SH,66,NA
1106,3,639,1537,1159,1059,1,ES,66,NA
1506,1,27,1402,NA,NA,14,ES,66,NA
1506,1,760,1140,1157,1487,6,ES,66,NA
1506,1,895,1306,NA,NA,6,ES,66,NA
1506,2,784,1118,1340,1314,14,ES,66,NA
1506,2,1102,1298,1068,1201,14,ES,66,NA
1506,3,135,983,1045,1038,6,ES,66,NA
1506,3,188,1201,NA,NA,14,ES,66,NA
1506,3,245,983,NA,NA,6,ES,66,NA
1506,3,593,1425,1038,1306,6,ES,66,NA
1506,3,1088,1122,1118,1301,14,ES,66,NA
1519,2,867,1043,1355,833,15,ES,66,NA
1519,3,987,1406,1018,1141,8,PP,66,NA
1519,OT1,70,833,1355,968,15,ES,66,NA
1094,2,145,1441,1993,1364,17,ES,66,NA
1094,2,470,1297,1405,1325,9,ES,66,NA
1094,2,598,1233,1274,NA,17,PP,66,NA
1094,2,826,1327,1297,1148,9,PP,66,NA
1094,2,1103,862,1239,1113,9,ES,66,NA
1094,3,179,1327,1992,1297,9,ES,66,NA
1094,3,548,1458,1117,1274,17,ES,66,NA
1094,3,569,1993,1364,1353,17,ES,66,NA
1094,3,697,1338,1748,1265,17,ES,66,NA
1094,3,855,1327,1992,1405,9,ES,66,NA
