"PlayerID","TeamID","FranchiseID","LeagueID","SeasonID","GP","Minutes","Wins","Losses","OT","ShotsAgainst","Saves","GoalsAgainst","GAA","Shutouts","SavePct","GameRating"
"2435","0","0","3","84","9","522","8","0","0","229","209","20","2.30","1","0.913","74"
"2436","5","5","3","84","12","715","8","4","0","345","313","32","2.69","1","0.907","73"
"2655","14","14","3","84","11","663","8","3","0","313","284","29","2.62","3","0.907","74"
"2639","12","12","3","84","4","172","0","3","0","118","97","21","7.31","0","0.822","47"
"5422","7","7","0","84","24","1184","9","9","2","662","582","80","4.05","0","0.879","63"
"5404","5","5","0","84","24","1360","16","5","1","643","567","76","3.35","0","0.882","64"
"1213","6","6","2","84","6","360","2","4","0","192","167","25","4.16","0","0.870","62"
"1452","4","4","2","84","7","418","3","4","0","229","204","25","3.59","0","0.891","70"
"1354","9","9","2","84","9","470","4","3","1","225","201","24","3.06","1","0.893","66"
"0","12","12","2","84","6","257","4","1","0","156","143","13","3.02","0","0.917","66"
"70","2","2","2","84","3","76","0","0","0","49","43","6","4.72","0","0.878","56"
"730","1","1","2","84","9","471","4","5","0","287","257","30","3.82","1","0.895","70"
"694","7","7","2","84","8","471","6","2","0","206","179","27","3.44","0","0.869","61"
"742","14","14","2","84","4","217","1","2","0","141","124","17","4.69","0","0.879","66"
"876","0","0","1","84","3","187","3","0","0","76","65","11","3.52","0","0.855","57"
"1179","6","6","2","84","6","363","3","2","1","183","166","17","2.80","0","0.907","74"
"961","2","2","2","84","12","653","3","8","1","409","361","48","4.41","0","0.883","68"
"1091","13","13","2","84","1","20","0","0","0","1","1","0","0.00","0","1.000","49"
"399","4","4","2","84","5","298","3","2","0","131","118","13","2.61","1","0.901","70"
"429","13","13","2","84","12","701","7","4","1","331","294","37","3.16","1","0.888","67"
"364","11","11","2","84","3","180","3","0","0","86","75","11","3.67","0","0.872","63"
"2021","12","12","2","84","8","463","0","6","1","260","230","30","3.88","0","0.885","65"
"1675","5","5","2","84","7","417","4","3","0","232","207","25","3.59","1","0.892","72"
"1786","8","8","2","84","7","338","3","2","0","175","153","22","3.90","0","0.874","60"
"1683","0","0","2","84","1","26","0","0","1","11","9","2","4.60","0","0.818","49"
"1913","0","0","2","84","12","695","7","4","0","385","350","35","3.02","1","0.909","74"
"1912","11","11","2","84","9","544","6","2","1","223","199","24","2.65","0","0.892","65"
"2160","1","1","2","84","5","252","2","1","0","136","118","18","4.28","0","0.868","57"
"1707","14","14","2","84","9","505","4","4","1","299","268","31","3.68","0","0.896","69"
"1895","8","8","2","84","7","384","5","2","0","173","154","19","2.96","0","0.890","65"
"2021","12","12","2","83","1","60","0","1","0","33","29","4","4.00","0","0.879","68"
"1683","0","0","2","83","1","7","0","0","0","2","2","0","0.00","0","1.000","51"
"2110","10","10","2","83","3","149","0","3","0","97","81","16","6.43","0","0.835","51"
"1912","11","11","2","83","7","420","5","2","0","190","170","20","2.86","0","0.895","67"
"1913","0","0","2","83","12","721","5","5","2","389","351","38","3.16","1","0.902","71"
"1675","5","5","2","83","6","346","2","4","0","183","159","24","4.16","0","0.869","61"
"1786","8","8","2","83","9","539","6","3","0","291","270","21","2.34","1","0.928","83"
"1707","14","14","2","83","8","466","3","5","0","281","251","30","3.86","0","0.893","72"
"1895","8","8","2","83","3","180","3","0","0","86","82","4","1.33","0","0.953","88"
"2160","1","1","2","83","3","43","0","0","0","24","20","4","5.46","0","0.833","47"
"0","12","12","2","83","11","663","4","6","1","406","368","38","3.44","0","0.906","78"
